Field,variable,aezbio,District,Fusarium,Sarocladium,Stenocarpella,Hirsutella,Penicillium,Talaromyces,Meyerozyma,Lasiodiplodia,Anthracocystis,Macrophomina,Nigrospora,Gibberella,Aspergillus,Colletotrichum,Candida,Cladosporium,Bipolaris,Ustilago,Kodamaea,Neofusicoccum,Exserohilum,Pyxidiophora,Ceratobasidium,Curvularia,Sporisorium,Papiliotrema,Moesziomyces,Hannaella,Hyphopichia,Lecanicillium,Alternaria,Periglandula,Zygoascus,Wickerhamomyces,Epicoccum,Meira,Pseudozyma,Yamadazyma,Phialemoniopsis,Aureobasidium,Quambalaria,Mucor,Occultifur,Rhizopus,Trichosporon,Malassezia,Pichia,Didymella,Wallemia,Cyberlindnera,Cephaloascus,Periconia,Dictyosporium,Rhodosporidiobolus,Vanrija,Symmetrospora,Claviceps,Clavispora,Eupenicillium,Clonostachys,Acremonium,Paraphaeosphaeria,Pseudopithomyces,Saturnispora,Cyphellophora,Saitozyma,Phaeosphaeria,Exophiala,Coniothyrium,Rhinocladiella,Pyricularia,Polypaecilum,Chalara,Plectosphaerella,Cyanodermella,Cryptococcus,Tremella,Chaetomium,Cuniculitrema,Simplicillium,Colacogloea,Neoascochyta
1,dry,S1I,Kalomo,34.98337939,60.2487084,0.006007449,0.276342665,0.014017382,0.018022348,0.296367496,0,0.024029797,0.088109255,3.67455645,0,0.138171332,0,0.010012415,0.028034763,0,0.008009932,0,0,0.014017382,0.030037246,0,0,0,0.016019865,0,0.010012415,0,0,0.004004966,0,0,0,0.074091874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030037246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008009932,0,0,0,0,0,0,0,0,0,0,0,0,0
2,dry,S1I,Kalomo,52.97885971,46.41586958,0.01546312,0.125913981,0.262873048,0,0.008836069,0.017672138,0.017672138,0.008836069,0.061852482,0,0.01546312,0,0.004418034,0,0,0.053016413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008836069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004418034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,dry,S1I,Kalomo,56.25457206,26.48134601,0,0.877834674,0,0,0.438917337,0,0.292611558,3.365032919,1.463057791,0,10.31455743,0,0,0,0,0.146305779,0,0,0.365764448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,dry,S1I,Kalomo,65.3882531,31.37709259,0.044925754,0.158422397,0.141870803,0,0.238815852,0,0.624231533,0.066206375,1.198808285,0.040196728,0.122954696,0.00709354,0.030738674,0.106403102,0,0.392509222,0.00709354,0,0,0,0,0,0,0.01418708,0.02128062,0,0,0,0.009458054,0,0,0,0,0,0,0,0,0,0,0,0,0.004729027,0,0,0,0,0,0,0,0,0,0.004729027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,dry,S1I,Kalomo,88.67626468,2.351631781,0.111298603,6.663555093,0.107708326,0,0.050263885,0,0.02872222,0.678562453,0.129249991,0,0.800631889,0,0,0.140020824,0,0.021541665,0,0,0.064624996,0.007180555,0,0.025131943,0.053854163,0,0,0.02872222,0,0,0.010770833,0,0,0,0,0,0,0,0,0,0,0,0,0.039493053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010770833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,dry,S1I,Kazungula,59.23556385,0.345973256,0,0,31.08816826,0,0.010983278,0,0,0.035695653,0,0,9.272632417,0,0,0.005491639,0,0.005491639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,dry,S1I,Kazungula,34.02661232,49.70031168,0.32366339,0.215775593,0.035962599,0,0.122872213,0,0.038959482,14.63977463,0.401582354,0,0.281707025,0,0,0.020978183,0.014984416,0.149844162,0,0,0,0.020978183,0,0,0,0,0,0,0,0,0.005993766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,dry,S1I,Kazungula,3.252763527,11.23922357,0,0.301475644,0.018511662,0.052890464,0.010578093,0,0,67.70508277,12.02464696,0,0.021156186,0,0,0,0,0.005289046,0.00793357,0,4.463955149,0,0,0,0,0,0,0,0,0,0.896493362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,dry,S1I,Kazungula,81.58486124,7.284012271,0.016051937,0.01248484,0.1837055,0,0.014268388,4.178854248,0.017835485,0,1.781765,3.406577727,1.309124634,0,0.028536777,0.140900335,0,0,0,0,0.008917743,0,0,0.032103874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,dry,S1I,Kazungula,92.86957709,0.947195959,0,0.032426528,4.573847152,0,0.003413319,0.496637881,0.02730655,0,0.223572379,0.469331331,0.095572926,0,0.006826638,0.244052292,0,0.005119978,0.005119978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
