Field,Fus_abundance,Fus_Level,FB1,FB1_level,Agroecozone,Pest_incidence,No_crop_rotation,No_field_burning,Early_maturing_variety,Medium_maturing_variety,Late_maturity_variety,Moisture_percent
4,65.39,High,15.9,Low,dry,65.39,65.39,65.39,0,65.39,0,20.2
5,88.68,High,11.7,Low,dry,88.68,88.68,88.68,0,0,88.68,25.2
9,81.58,High,297.2,Med,dry,81.58,0,0,0,0,81.58,23.2
10,92.87,High,205.3,Med,dry,92.87,0,0,0,92.87,0,21.5
11,97.54,High,321.2,High,dry,97.54,0,97.54,97.54,0,0,34
12,87.42,High,9.5,Low,dry,87.42,87.42,87.42,87.42,0,0,34.5
13,92.29,High,1116.9,High,dry,92.29,0,92.29,92.29,0,0,19.3
14,96.62,High,223.6,Med,dry,96.62,0,96.62,96.62,0,0,22.9
15,83.44,High,23.3,Low,dry,83.44,83.44,83.44,83.44,0,0,17.9
16,97.57,High,1072.4,High,dry,97.57,97.57,0,97.57,0,0,25.3
19,91.56,High,443.8,High,dry,91.56,91.56,91.56,0,0,91.56,14.6
20,91.09,High,974,High,dry,91.09,91.09,91.09,91.09,0,0,17.1
24,91.51,High,172.2,Med,wet,91.51,0,0,0,0,91.51,17.4
37,98,High,929.4,High,wet,0,98,98,0,0,98,13.5
8,3.25,Low,270.6,Med,dry,3.25,0,0,3.25,0,0,24.8
17,5.54,Low,19.7,Low,dry,5.54,0,0,0,0,5.54,17
21,11.76,Low,135.5,Med,wet,11.76,11.76,0,11.76,0,0,15.7
22,1.78,Low,63.3,Med,wet,1.78,1.78,1.78,0,1.78,0,15.4
23,2.68,Low,13,Low,wet,0,0,0,2.68,0,0,15
29,2.23,Low,207.4,Med,wet,0,2.23,2.23,0,0,2.23,17.5
30,2.1,Low,8.9,Low,wet,0,0,0,0,0,2.1,14.3
31,6.48,Low,28.3,Low,wet,0,6.48,0,6.48,0,0,13.6
33,13.71,Low,33.2,Low,wet,0,13.71,0,0,0,13.71,15.8
35,8.74,Low,909.3,High,wet,8.74,0,8.74,0,8.74,0,15.7
36,8.13,Low,271.3,Med,wet,8.13,8.13,0,0,8.13,0,13.6
39,0.58,Low,54.9,Med,wet,0.58,0,0.58,0,0.58,0,11.5
40,14.95,Low,17.1,Low,wet,0,0,14.95,0,0,14.95,15.1
1,34.98,Med,223.4,Med,dry,34.98,0,34.98,34.98,0,0,34
2,52.98,Med,45.5,Low,dry,52.98,52.98,52.98,52.98,0,0,25.1
3,56.25,Med,285.8,Med,dry,56.25,0,56.25,56.25,0,0,28
6,59.24,Med,586.4,High,dry,59.24,59.24,59.24,59.24,0,0,29.7
7,34.03,Med,20.1,Low,dry,0,0,34.03,34.03,0,0,15.8
18,28.74,Med,13.4,Low,dry,28.74,0,28.74,0,0,28.74,21
25,42.08,Med,308.7,High,wet,42.08,0,0,42.08,0,0,13.5
26,63.39,Med,7.8,Low,wet,63.39,63.39,0,0,0,63.39,13.2
27,44.79,Med,305,High,wet,44.79,44.79,0,0,44.79,0,19
28,25.88,Med,15.2,Low,wet,0,25.88,0,25.88,0,0,17.1
32,21.97,Med,18,Low,wet,0,21.97,0,0,0,21.97,13
34,34.28,Med,110.7,Med,wet,34.28,34.28,34.28,0,34.28,0,13.8
38,25.64,Med,7.2,Low,wet,25.64,25.64,25.64,0,25.64,0,13.1
